TABLE|7|12_1.U4(3)|39191040|181
COMPLEX|7|72|15|0
CCLASS|7|72|5|9|0
CCLASS|7|72|9|5|0
CCLASS|7|72|19|19|9
CCLASS|7|72|23|27|3
CCLASS|7|72|27|23|3
CCLASS|7|72|31|31|7
CCLASS|7|72|35|39|4
CCLASS|7|72|39|35|4
CCLASS|7|72|43|43|5
CCLASS|7|72|47|47|5
COMPLEX|7|73|15|0
CCLASS|7|73|5|9|0
CCLASS|7|73|9|5|0
CCLASS|7|73|19|19|9
CCLASS|7|73|23|27|3
CCLASS|7|73|27|23|3
CCLASS|7|73|31|31|7
CCLASS|7|73|35|39|4
CCLASS|7|73|39|35|4
CCLASS|7|73|43|43|5
CCLASS|7|73|47|47|5
RATIONAL|7|46|30
RCLASS|7|46|5|9|0
RCLASS|7|46|9|5|0
RCLASS|7|46|19|19|18
RCLASS|7|46|23|27|6
RCLASS|7|46|27|23|6
RCLASS|7|46|31|31|14
RCLASS|7|46|35|39|8
RCLASS|7|46|39|35|8
RCLASS|7|46|43|43|10
RCLASS|7|46|47|47|10
TABLE|8|12_1.U4(3).2_1|78382080|173
COMPLEX|8|119|30|1
CCLASS|8|119|5|5|0
CCLASS|8|119|13|13|18
CCLASS|8|119|17|17|6
CCLASS|8|119|21|21|14
CCLASS|8|119|25|25|8
CCLASS|8|119|29|29|10
CCLASS|8|119|33|33|10
RATIONAL|8|75|30
RCLASS|8|75|5|5|0
RCLASS|8|75|13|13|18
RCLASS|8|75|17|17|6
RCLASS|8|75|21|21|14
RCLASS|8|75|25|25|8
RCLASS|8|75|29|29|10
RCLASS|8|75|33|33|10
TABLE|9|12_1.U4(3).2_2|78382080|209
COMPLEX|9|80|15|0
CCLASS|9|80|5|8|0
CCLASS|9|80|8|5|0
CCLASS|9|80|16|16|9
CCLASS|9|80|20|23|3
CCLASS|9|80|23|20|3
CCLASS|9|80|25|25|7
CCLASS|9|80|29|32|4
CCLASS|9|80|32|29|4
CCLASS|9|80|34|34|5
CCLASS|9|80|37|37|5
COMPLEX|9|81|15|0
CCLASS|9|81|5|8|0
CCLASS|9|81|8|5|0
CCLASS|9|81|16|16|9
CCLASS|9|81|20|23|3
CCLASS|9|81|23|20|3
CCLASS|9|81|25|25|7
CCLASS|9|81|29|32|4
CCLASS|9|81|32|29|4
CCLASS|9|81|34|34|5
CCLASS|9|81|37|37|5
COMPLEX|9|82|15|0
CCLASS|9|82|5|8|0
CCLASS|9|82|8|5|0
CCLASS|9|82|16|16|9
CCLASS|9|82|20|23|3
CCLASS|9|82|23|20|3
CCLASS|9|82|25|25|7
CCLASS|9|82|29|32|4
CCLASS|9|82|32|29|4
CCLASS|9|82|34|34|5
CCLASS|9|82|37|37|5
COMPLEX|9|83|15|0
CCLASS|9|83|5|8|0
CCLASS|9|83|8|5|0
CCLASS|9|83|16|16|9
CCLASS|9|83|20|23|3
CCLASS|9|83|23|20|3
CCLASS|9|83|25|25|7
CCLASS|9|83|29|32|4
CCLASS|9|83|32|29|4
CCLASS|9|83|34|34|5
CCLASS|9|83|37|37|5
RATIONAL|9|70|30
RCLASS|9|70|5|8|0
RCLASS|9|70|8|5|0
RCLASS|9|70|16|16|18
RCLASS|9|70|20|23|6
RCLASS|9|70|23|20|6
RCLASS|9|70|25|25|14
RCLASS|9|70|29|32|8
RCLASS|9|70|32|29|8
RCLASS|9|70|34|34|10
RCLASS|9|70|37|37|10
RATIONAL|9|71|30
RCLASS|9|71|5|8|0
RCLASS|9|71|8|5|0
RCLASS|9|71|16|16|18
RCLASS|9|71|20|23|6
RCLASS|9|71|23|20|6
RCLASS|9|71|25|25|14
RCLASS|9|71|29|32|8
RCLASS|9|71|32|29|8
RCLASS|9|71|34|34|10
RCLASS|9|71|37|37|10
TABLE|10|12_1.U4(3).2_2'|78382080|134
COMPLEX|10|80|30|1
CCLASS|10|80|5|5|0
CCLASS|10|80|12|12|18
CCLASS|10|80|16|16|6
CCLASS|10|80|19|19|14
CCLASS|10|80|23|23|8
CCLASS|10|80|26|26|10
CCLASS|10|80|29|29|10
RATIONAL|10|70|30
RCLASS|10|70|5|5|0
RCLASS|10|70|12|12|18
RCLASS|10|70|16|16|6
RCLASS|10|70|19|19|14
RCLASS|10|70|23|23|8
RCLASS|10|70|26|26|10
RCLASS|10|70|29|29|10
TABLE|11|12_2.U4(3)|39191040|157
TABLE|12|12_2.U4(3).2_1|78382080|161
TABLE|13|12_2.U4(3).2_3|78382080|149
TABLE|14|12_2.U4(3).2_3'|78382080|104
TABLE|42|2x3_1.U4(3).2_2|39191040|184
COMPLEX|42|35|15|0
CCLASS|42|35|2|3|0
CCLASS|42|35|3|2|0
CCLASS|42|35|7|7|9
CCLASS|42|35|8|9|3
CCLASS|42|35|9|8|3
CCLASS|42|35|10|10|7
CCLASS|42|35|11|12|4
CCLASS|42|35|12|11|4
CCLASS|42|35|13|13|5
CCLASS|42|35|14|14|5
COMPLEX|42|36|15|0
CCLASS|42|36|2|3|0
CCLASS|42|36|3|2|0
CCLASS|42|36|7|7|9
CCLASS|42|36|8|9|3
CCLASS|42|36|9|8|3
CCLASS|42|36|10|10|7
CCLASS|42|36|11|12|4
CCLASS|42|36|12|11|4
CCLASS|42|36|13|13|5
CCLASS|42|36|14|14|5
COMPLEX|42|37|15|0
CCLASS|42|37|2|3|0
CCLASS|42|37|3|2|0
CCLASS|42|37|7|7|9
CCLASS|42|37|8|9|3
CCLASS|42|37|9|8|3
CCLASS|42|37|10|10|7
CCLASS|42|37|11|12|4
CCLASS|42|37|12|11|4
CCLASS|42|37|13|13|5
CCLASS|42|37|14|14|5
COMPLEX|42|38|15|0
CCLASS|42|38|2|3|0
CCLASS|42|38|3|2|0
CCLASS|42|38|7|7|9
CCLASS|42|38|8|9|3
CCLASS|42|38|9|8|3
CCLASS|42|38|10|10|7
CCLASS|42|38|11|12|4
CCLASS|42|38|12|11|4
CCLASS|42|38|13|13|5
CCLASS|42|38|14|14|5
COMPLEX|42|127|15|0
CCLASS|42|127|2|3|0
CCLASS|42|127|3|2|0
CCLASS|42|127|7|7|9
CCLASS|42|127|8|9|3
CCLASS|42|127|9|8|3
CCLASS|42|127|10|10|7
CCLASS|42|127|11|12|4
CCLASS|42|127|12|11|4
CCLASS|42|127|13|13|5
CCLASS|42|127|14|14|5
COMPLEX|42|128|15|0
CCLASS|42|128|2|3|0
CCLASS|42|128|3|2|0
CCLASS|42|128|7|7|9
CCLASS|42|128|8|9|3
CCLASS|42|128|9|8|3
CCLASS|42|128|10|10|7
CCLASS|42|128|11|12|4
CCLASS|42|128|12|11|4
CCLASS|42|128|13|13|5
CCLASS|42|128|14|14|5
COMPLEX|42|129|15|0
CCLASS|42|129|2|3|0
CCLASS|42|129|3|2|0
CCLASS|42|129|7|7|9
CCLASS|42|129|8|9|3
CCLASS|42|129|9|8|3
CCLASS|42|129|10|10|7
CCLASS|42|129|11|12|4
CCLASS|42|129|12|11|4
CCLASS|42|129|13|13|5
CCLASS|42|129|14|14|5
COMPLEX|42|130|15|0
CCLASS|42|130|2|3|0
CCLASS|42|130|3|2|0
CCLASS|42|130|7|7|9
CCLASS|42|130|8|9|3
CCLASS|42|130|9|8|3
CCLASS|42|130|10|10|7
CCLASS|42|130|11|12|4
CCLASS|42|130|12|11|4
